Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Lat","Lon"
Rewritten,"Redgarden - Lumpe to the top > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/105750106/rewritten,3.7,-1,Trad,5.7,6,650,39.93228,-105.28671
"The Yellow Spur","Redgarden - Tower One > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/105748657/the-yellow-spur,3.8,-1,Trad,5.9+,6,,39.93194,-105.28603
"Outer Space","Snow Creek Wall > Snow Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105793664/outer-space,3.8,-1,Trad,5.9,6,700,47.52963,-120.71869
"West Ridge","Pigeon Spire > The Bugaboos > Purcell Mountains > Columbia Mountains > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105869393/west-ridge,3.9,-1,"Trad, Alpine",5.4,1,1500,50.7189,-116.785
"Supercrack of the Desert","Supercrack Buttress > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/105717364/supercrack-of-the-desert,3.8,-1,Trad,5.10,3,,38.03635,-109.54552
"The Bastille Crack","The Bastille - N Face > The Bastille > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/105748490/the-bastille-crack,3.5,-1,Trad,5.7,5,350,39.9307,-105.283
"East Face (Standard)","Third Flatiron > North > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/105748047/east-face-standard,3.6,-1,Trad,5.4,8,,39.9874,-105.29197
"Serenity Crack","Western Royal Arches > Royal Arches > H. Royal Arches Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862912/serenity-crack,3.8,-1,Trad,"5.10d PG13",3,350,37.74873,-119.57265
"North East Ridge","Bugaboo Spire > The Bugaboos > Purcell Mountains > Columbia Mountains > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105889511/north-east-ridge,3.9,-1,"Trad, Alpine",5.8,10,1500,50.74546,-116.78853
"West Ridge","Forbidden Peak > Boston Basin > North Cascades > Hwy 20 and North Cascades National Park > Northwest Region > Washington",https://www.mountainproject.com/route/106450596/west-ridge,3.9,-1,"Trad, Snow, Alpine","5.6 Mod. Snow",1,1500,48.51169,-121.05894
"The Direct North Ridge w/ Gendarme","Mt Stuart > Stuart-Enchantments > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106245725/the-direct-north-ridge-w-gendarme,3.9,-1,"Trad, Alpine",5.9+,20,2800,47.4773,-120.9022
Namaste,"Namaste Wall > South Fork of Taylor > Kolob Canyon > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/105717892/namaste,3.9,-1,Sport,5.11d,1,140,37.45133,-113.16338
"Fine Jade","The Rectory > Castle Valley > Southeast Utah > Utah",https://www.mountainproject.com/route/105717322/fine-jade,3.9,-1,Trad,5.11a,5,,38.6571,-109.3678
"Northeast Face","Pingora > Cirque of the Towers > Wind River Range > Wyoming",https://www.mountainproject.com/route/105825209/northeast-face,3.8,-1,"Trad, Alpine",5.8+,12,1200,42.7789,-109.226
"Jah Man","Sister Superior Group > Castle Valley > Southeast Utah > Utah",https://www.mountainproject.com/route/105717373/jah-man,3.9,-1,Trad,5.10c,6,350,38.6726,-109.3753
"Levitation 29","Eagle Wall > 12-Oak Creek Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732443/levitation-29,3.8,-1,Trad,5.11b/c,9,700,36.10438,-115.49498
Durrance,"Durrance Approach > Devils Tower > Wyoming",https://www.mountainproject.com/route/105714812/durrance,3.4,-1,Trad,5.7+,6,500,44.58978,-104.71537
"Playin' Hooky","Creek Side > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/106701638/playin-hooky,3.3,-1,Sport,5.8,4,400,39.74102,-105.41042
"Sunshine Crack","Snowpatch Spire > The Bugaboos > Purcell Mountains > Columbia Mountains > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105868170/sunshine-crack,4.0,-1,"Trad, Alpine",5.11-,11,900,50.73667,-116.78162
"Whitney Gilman Ridge","1. Whitney-Gilman Area > *Cannon Cliff > New Hampshire",https://www.mountainproject.com/route/105872668/whitney-gilman-ridge,3.7,-1,"Trad, Alpine",5.7,6,600,44.15597,-71.68713
"The Vampire","Upper Bulge Routes > (f) West Face Bulge Routes > Tahquitz Rock > Tahquitz & Suicide Rocks > California",https://www.mountainproject.com/route/105805108/the-vampire,4.0,-1,Trad,5.11a,4,400,33.76015,-116.6846
"Mithril Dihedral","Mt. Russell > 14 - Whitney & Surrounding Peaks > High Sierra > California",https://www.mountainproject.com/route/105802833/mithril-dihedral,3.9,-1,"Trad, Alpine",5.9+,6,500,36.59,-118.291
"Crimson Chrysalis","Cloud Tower > 11-Juniper Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732281/crimson-chrysalis,3.6,-1,Trad,5.8+,9,1000,36.11237,-115.48908
"Central Pillar of Frenzy","6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862930/central-pillar-of-frenzy,3.8,-1,Trad,5.9,5,500,37.7165,-119.6363
"The Scenic Cruise","North Chasm View Wall > North Rim Routes > Black Canyon of the Gunnison > Gunnison > Colorado",https://www.mountainproject.com/route/105756778/the-scenic-cruise,4.0,-1,Trad,5.10d,13,,38.582,-107.70883
Exasperator,"Grand Wall Base Area > The Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105806955/exasperator,4.0,-1,Trad,5.10c,2,150,49.6827,-123.1482
"Tenaya, Matthes, Cathedral Traverse","Cathedral Range Enchainments > Cathedral Range > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/107677399/tenaya-matthes-cathedral-traverse,3.9,-1,"Trad, Alpine",5.7,1,4700,37.82733,-119.37442
"El Matador","West Face > Devils Tower > Wyoming",https://www.mountainproject.com/route/105714944/el-matador,3.9,-1,Trad,5.10d,5,250,44.59062,-104.71615
"Pervertical Sanctuary","The Diamond > Long's Peak > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/105748939/pervertical-sanctuary,3.9,-1,"Trad, Alpine",5.11a,6,,40.25617,-105.61384
"Amarillo Sunset","North 40 > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106286394/amarillo-sunset,3.9,-1,Sport,5.11b,1,50,37.6523,-83.7082
"The Nightcrawler","Brownstone Wall > 11-Juniper Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105920684/the-nightcrawler,3.8,-1,Trad,5.10+,5,550,36.11483,-115.4957
"Owen Spalding","Grand Teton > Grand Teton National Park > Wyoming",https://www.mountainproject.com/route/105814121/owen-spalding,3.3,-1,"Trad, Alpine",5.4,3,1560,43.74092,-110.80253
"Cloud Tower","Cloud Tower > 11-Juniper Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732386/cloud-tower,3.9,-1,Trad,5.12a,6,810,36.11237,-115.48908
"West Ridge","Mt. Conness > Glen Aulin Area > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/106167844/west-ridge,3.8,-1,"Trad, Alpine",5.6,10,1500,37.96688,-119.32128
Oz,"Drug Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/105862944/oz,3.9,-1,Trad,5.10d,5,600,37.86461,-119.42215
"Incredible Hand Crack","Supercrack Buttress > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/105717367/incredible-hand-crack,3.8,-1,Trad,5.10,1,100,38.03635,-109.54552
Freeblast,"2. Southwest Face > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105991737/freeblast,3.6,-1,Trad,5.11,10,950,37.73051,-119.63828
"East Buttress","Mt. Whitney > 14 - Whitney & Surrounding Peaks > High Sierra > California",https://www.mountainproject.com/route/105789686/east-buttress,3.6,-1,"Trad, Alpine",5.7,11,1000,36.57844,-118.29229
Steck-Salathe,"M. Sentinel Rock > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862873/steck-salathe,3.8,-1,Trad,5.10-,15,,37.72958,-119.59381
"South Face","Petit Grepon > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/105749770/south-face,3.7,-1,"Trad, Alpine",5.8,8,,40.28029,-105.6725
"Wunsch's Dihedral","Cynical Pinnacle > Cathedral Spires Area > South Platte > Colorado",https://www.mountainproject.com/route/105752347/wunschs-dihedral,4.0,-1,"Trad, Aid","5.11b/c C0",4,,39.42059,-105.25164
"Lightning Bolt Cracks","North Six Shooter Peak > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/105717598/lightning-bolt-cracks,3.9,-1,Trad,5.11-,1,,38.13741,-109.66805
"Upper North Ridge w/Great Gendarme","Mt Stuart > Stuart-Enchantments > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106050599/upper-north-ridge-wgreat-gendarme,3.9,-1,"Trad, Alpine",5.9,18,1200,47.4773,-120.9022
"Thunderbolt to Sill Traverse","Thunderbolt Peak > 09 - Palisades & Surrounding Peaks > High Sierra > California",https://www.mountainproject.com/route/106513790/thunderbolt-to-sill-traverse,3.9,-1,"Trad, Snow, Alpine","5.9 Easy Snow",1,5280,37.098,-118.5176
"VMC Direct Direct","3. Big Wall > *Cannon Cliff > New Hampshire",https://www.mountainproject.com/route/106028120/vmc-direct-direct,3.9,-1,"Trad, Alpine",5.10+,9,800,44.15801,-71.68536
"Klahanie Crack","Shannon Falls Wall > Shannon Falls > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105947052/klahanie-crack,3.7,-1,Trad,5.7,1,90,49.66932,-123.15753
"Primrose Dihedrals","Moses > Taylor Canyon > Island In The Sky > Southeast Utah > Utah",https://www.mountainproject.com/route/105717748/primrose-dihedrals,3.9,-1,Trad,5.11+,7,600,38.47567,-109.91054
"Sunspot Dihedral","Incredible Hulk > 02 - The Sawtooth Ridge > High Sierra > California",https://www.mountainproject.com/route/106499440/sunspot-dihedral,4.0,-1,"Trad, Alpine",5.11b,9,1200,38.12188,-119.41522
Atlantis,"The Sorcerer > The Needles > The Needles / Kern River > Western Sierra > California",https://www.mountainproject.com/route/105834277/atlantis,4.0,-1,Trad,"5.11+ PG13",4,500,36.10745,-118.48148
"The Nutcracker Suite (aka Nutcracker)","5. Manure Pile Buttress (aka Ranger Rock) > C. El Cap Picnic Area (Eagle Creek) > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105833505/the-nutcracker-suite-aka-nutcracker,3.6,-1,Trad,5.8,5,500,37.73059,-119.619
